,metric_source,2024-08
0,average_responses_agg_month,0.0
1,caseloads_months,16.0
2,chart_review_months,0.0
3,documentation_rates_months,1.0
4,mic_utilization_rate_months,1.0
5,miss_streak__average_responses_agg_month,1.0
6,miss_streak__caseloads_months,1.0
7,miss_streak__chart_review_months,1.0
8,miss_streak__documentation_rates_months,0.0
9,miss_streak__mic_utilization_rate_months,0.0
10,total_num_metric_target_met,2.0
11,num_month_streak_metric_total_missed_target,1.0
